Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
13060758,TOTENV_2,COUNTRY,BRB,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,4,3.59211,,,,2016-03-09T14:05:29Z,2012,2012-01-01,2012-12-31
13060759,TOTENV_2,COUNTRY,CIV,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,134,133.73154,,,,2016-03-09T14:05:29Z,2012,2012-01-01,2012-12-31
13060760,TOTENV_2,COUNTRY,CMR,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,126,125.57919,,,,2016-03-09T14:05:29Z,2012,2012-01-01,2012-12-31
13060761,TOTENV_2,COUNTRY,KGZ,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,9,9.31273,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060762,TOTENV_2,COUNTRY,KNA,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,3,2.74739,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060763,TOTENV_2,COUNTRY,LKA,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,8,7.62832,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060764,TOTENV_2,COUNTRY,MDV,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,5,5.35648,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060765,TOTENV_2,COUNTRY,MLT,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,0,0.43118,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060766,TOTENV_2,COUNTRY,MNG,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,13,13.41679,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060767,TOTENV_2,COUNTRY,PNG,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,68,67.56714,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060768,TOTENV_2,COUNTRY,PRK,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,14,13.7281,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060769,TOTENV_2,COUNTRY,SEN,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,96,95.75966,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060770,TOTENV_2,COUNTRY,SWZ,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,123,122.58961,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060771,TOTENV_2,COUNTRY,SYR,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,5,5.30984,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060772,TOTENV_2,COUNTRY,TON,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,10,10.12078,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060773,TOTENV_2,COUNTRY,UZB,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,11,10.63249,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060774,TOTENV_2,COUNTRY,ZAF,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,88,88.41188,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060818,TOTENV_2,COUNTRY,AGO,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,62,62.14518,,,,2016-03-09T14:05:33Z,2012,2012-01-01,2012-12-31
13060819,TOTENV_2,COUNTRY,BHR,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,10,9.63149,,,,2016-03-09T14:05:33Z,2012,2012-01-01,2012-12-31
13060820,TOTENV_2,COUNTRY,BIH,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,13,12.92241,,,,2016-03-09T14:05:33Z,2012,2012-01-01,2012-12-31
13060821,TOTENV_2,COUNTRY,BRB,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,7,7.27238,,,,2016-03-09T14:05:33Z,2012,2012-01-01,2012-12-31
13060822,TOTENV_2,COUNTRY,CZE,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,9,8.75581,,,,2016-03-09T14:05:34Z,2012,2012-01-01,2012-12-31
13060823,TOTENV_2,COUNTRY,DZA,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,24,24.04296,,,,2016-03-09T14:05:34Z,2012,2012-01-01,2012-12-31
13060824,TOTENV_2,COUNTRY,FSM,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,31,30.75807,,,,2016-03-09T14:05:34Z,2012,2012-01-01,2012-12-31
13060825,TOTENV_2,COUNTRY,GAB,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,32,31.73015,,,,2016-03-09T14:05:34Z,2012,2012-01-01,2012-12-31
13060826,TOTENV_2,COUNTRY,LKA,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,34,33.74199,,,,2016-03-09T14:05:34Z,2012,2012-01-01,2012-12-31
13060827,TOTENV_2,COUNTRY,LSO,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,58,58.44422,,,,2016-03-09T14:05:34Z,2012,2012-01-01,2012-12-31
13060828,TOTENV_2,COUNTRY,MDV,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,15,15.23882,,,,2016-03-09T14:05:34Z,2012,2012-01-01,2012-12-31
13060829,TOTENV_2,COUNTRY,MEX,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,20,20.30863,,,,2016-03-09T14:05:34Z,2012,2012-01-01,2012-12-31
13060830,TOTENV_2,COUNTRY,MMR,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,39,39.33514,,,,2016-03-09T14:05:34Z,2012,2012-01-01,2012-12-31
13060831,TOTENV_2,COUNTRY,NIC,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,23,23.14384,,,,2016-03-09T14:05:34Z,2012,2012-01-01,2012-12-31
13060832,TOTENV_2,COUNTRY,PRY,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,24,23.96654,,,,2016-03-09T14:05:34Z,2012,2012-01-01,2012-12-31
13060833,TOTENV_2,COUNTRY,SAU,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,16,15.85942,,,,2016-03-09T14:05:34Z,2012,2012-01-01,2012-12-31
13060834,TOTENV_2,COUNTRY,SGP,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,3,2.67145,,,,2016-03-09T14:05:34Z,2012,2012-01-01,2012-12-31
13060835,TOTENV_2,COUNTRY,SYR,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,14,13.55003,,,,2016-03-09T14:05:35Z,2012,2012-01-01,2012-12-31
13060836,TOTENV_2,COUNTRY,TCD,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,51,51.37538,,,,2016-03-09T14:05:35Z,2012,2012-01-01,2012-12-31
13060837,TOTENV_2,COUNTRY,TGO,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,40,40.37537,,,,2016-03-09T14:05:35Z,2012,2012-01-01,2012-12-31
13060838,TOTENV_2,COUNTRY,TON,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,21,21.49776,,,,2016-03-09T14:05:35Z,2012,2012-01-01,2012-12-31
13060892,TOTENV_2,COUNTRY,AGO,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,157,157.3478,,,,2016-03-09T14:05:38Z,2012,2012-01-01,2012-12-31
13060893,TOTENV_2,COUNTRY,BIH,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,141,141.29943,,,,2016-03-09T14:05:38Z,2012,2012-01-01,2012-12-31
13060894,TOTENV_2,COUNTRY,CUB,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,60,59.8604,,,,2016-03-09T14:05:38Z,2012,2012-01-01,2012-12-31
13060895,TOTENV_2,COUNTRY,CZE,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,73,72.83766,,,,2016-03-09T14:05:38Z,2012,2012-01-01,2012-12-31
13060896,TOTENV_2,COUNTRY,FSM,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,73,73.45286,,,,2016-03-09T14:05:38Z,2012,2012-01-01,2012-12-31
13060897,TOTENV_2,COUNTRY,GAB,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,69,68.64597,,,,2016-03-09T14:05:38Z,2012,2012-01-01,2012-12-31
13060898,TOTENV_2,COUNTRY,LSO,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,109,109.13712,,,,2016-03-09T14:05:38Z,2012,2012-01-01,2012-12-31
13060899,TOTENV_2,COUNTRY,MEX,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,57,56.81175,,,,2016-03-09T14:05:38Z,2012,2012-01-01,2012-12-31
13060900,TOTENV_2,COUNTRY,MNG,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,265,265.2222,,,,2016-03-09T14:05:38Z,2012,2012-01-01,2012-12-31
13060901,TOTENV_2,COUNTRY,NIC,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,105,105.36408,,,,2016-03-09T14:05:38Z,2012,2012-01-01,2012-12-31
13060902,TOTENV_2,COUNTRY,PRK,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,260,259.5949,,,,2016-03-09T14:05:39Z,2012,2012-01-01,2012-12-31
13060903,TOTENV_2,COUNTRY,SDN,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,113,112.66616,,,,2016-03-09T14:05:39Z,2012,2012-01-01,2012-12-31
13060904,TOTENV_2,COUNTRY,SGP,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,43,43.36466,,,,2016-03-09T14:05:39Z,2012,2012-01-01,2012-12-31
13060905,TOTENV_2,COUNTRY,SLB,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,128,128.35027,,,,2016-03-09T14:05:39Z,2012,2012-01-01,2012-12-31
13060906,TOTENV_2,COUNTRY,SLE,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,210,210.27813,,,,2016-03-09T14:05:39Z,2012,2012-01-01,2012-12-31
13060907,TOTENV_2,COUNTRY,SVK,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,93,93.05222,,,,2016-03-09T14:05:39Z,2012,2012-01-01,2012-12-31
13060908,TOTENV_2,COUNTRY,SYR,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,121,120.82603,,,,2016-03-09T14:05:39Z,2012,2012-01-01,2012-12-31
13060909,TOTENV_2,COUNTRY,TGO,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,148,148.21497,,,,2016-03-09T14:05:39Z,2012,2012-01-01,2012-12-31
13060982,TOTENV_2,COUNTRY,BGD,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,36,36.29599,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13060983,TOTENV_2,COUNTRY,BHR,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,3,2.68818,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13060984,TOTENV_2,COUNTRY,BRN,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,2,2.15645,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13060985,TOTENV_2,COUNTRY,CHL,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,1,1.4373,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13060986,TOTENV_2,COUNTRY,CRI,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,3,2.66795,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13060987,TOTENV_2,COUNTRY,CYP,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,1,0.6206,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13060988,TOTENV_2,COUNTRY,DNK,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,1,0.92644,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13060989,TOTENV_2,COUNTRY,DZA,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,11,10.93937,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13060990,TOTENV_2,COUNTRY,FIN,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,0,0.43793,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13060991,TOTENV_2,COUNTRY,KHM,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,39,39.30952,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13060992,TOTENV_2,COUNTRY,LCA,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,4,3.74037,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13060993,TOTENV_2,COUNTRY,MAR,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,13,13.09918,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13060994,TOTENV_2,COUNTRY,MMR,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,47,47.1986,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13060995,TOTENV_2,COUNTRY,MNE,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,1,1.32161,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13060996,TOTENV_2,COUNTRY,SAU,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,4,4.02967,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13060997,TOTENV_2,COUNTRY,SRB,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,2,1.51281,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13060998,TOTENV_2,COUNTRY,TUN,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,4,4.4015,,,,2016-03-09T14:05:43Z,2012,2012-01-01,2012-12-31
13061054,TOTENV_2,COUNTRY,CIV,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,53,53.41713,,,,2016-03-09T14:05:47Z,2012,2012-01-01,2012-12-31
13061055,TOTENV_2,COUNTRY,CRI,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,16,15.83799,,,,2016-03-09T14:05:47Z,2012,2012-01-01,2012-12-31
13061056,TOTENV_2,COUNTRY,FIN,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,8,8.11412,,,,2016-03-09T14:05:47Z,2012,2012-01-01,2012-12-31
13061057,TOTENV_2,COUNTRY,IDN,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,21,21.03296,,,,2016-03-09T14:05:47Z,2012,2012-01-01,2012-12-31
13061058,TOTENV_2,COUNTRY,KHM,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,28,27.75657,,,,2016-03-09T14:05:47Z,2012,2012-01-01,2012-12-31
13061059,TOTENV_2,COUNTRY,KNA,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,15,15.31464,,,,2016-03-09T14:05:47Z,2012,2012-01-01,2012-12-31
13061060,TOTENV_2,COUNTRY,MNE,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,9,8.50786,,,,2016-03-09T14:05:47Z,2012,2012-01-01,2012-12-31
13061061,TOTENV_2,COUNTRY,PRK,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,37,36.66642,,,,2016-03-09T14:05:47Z,2012,2012-01-01,2012-12-31
13061062,TOTENV_2,COUNTRY,SDN,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,53,53.30941,,,,2016-03-09T14:05:47Z,2012,2012-01-01,2012-12-31
13061063,TOTENV_2,COUNTRY,SEN,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,38,37.51416,,,,2016-03-09T14:05:47Z,2012,2012-01-01,2012-12-31
13061064,TOTENV_2,COUNTRY,SSD,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,56,56.42574,,,,2016-03-09T14:05:47Z,2012,2012-01-01,2012-12-31
13061065,TOTENV_2,COUNTRY,STP,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,31,30.67366,,,,2016-03-09T14:05:47Z,2012,2012-01-01,2012-12-31
13061066,TOTENV_2,COUNTRY,SYC,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,34,34.06283,,,,2016-03-09T14:05:47Z,2012,2012-01-01,2012-12-31
